OK	UH	OK
change	VB	change
our	PP$	our
culture	NN	culture
or	CC	or
change	VB	change
our	PP$	our
expectations	NNS	expectation
.	SENT	.
So	RB	so
,	,	,
imagine	VB	imagine
if	IN	if
we	PP	we
were	VBD	be
all	DT	all
less	RBR	less
passive	JJ	passive
in	IN	in
love	NN	love
.	SENT	.
If	IN	if
we	PP	we
were	VBD	be
more	RBR	more
assertive	JJ	assertive
,	,	,
more	RBR	more
open-minded	JJ	open-minded
,	,	,
more	RBR	more
generous	JJ	generous
and	CC	and
instead	RB	instead
of	IN	of
falling	VBG	fall
in	IN	in
love	NN	love
,	,	,
we	PP	we
stepped	VBD	step
into	IN	into
love	NN	love
.	SENT	.
I	PP	I
know	VBP	know
that	IN	that
this	DT	this
is	VBZ	be
asking	VBG	ask
a	DT	a
lot	NN	lot
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
not	RB	not
actually	RB	actually
the	DT	the
first	JJ	first
person	NN	person
to	TO	to
suggest	VB	suggest
this	DT	this
.	SENT	.
In	IN	in
their	PP$	their
book	NN	book
,	,	,
"	''	"
Metaphors	NNS	metaphor
We	PP	we
Live	VBP	live
By	IN	by
,	,	,
"	''	"
linguists	NNS	linguist
Mark	NP	Mark
Johnson	NP	Johnson
and	CC	and
George	NP	George
Lakoff	NP	Lakoff
suggest	VBP	suggest
a	DT	a
really	RB	really
interesting	JJ	interesting
solution	NN	solution
to	TO	to
this	DT	this
dilemma	NN	dilemma
,	,	,
which	WDT	which
is	VBZ	be
to	TO	to
change	VB	change
our	PP$	our
metaphors	NNS	metaphor
.	SENT	.
They	PP	they
argue	VBP	argue
that	IN	that
metaphors	NNS	metaphor
really	RB	really
do	VBP	do
shape	VB	shape
the	DT	the
way	NN	way
we	PP	we
experience	VBP	experience
the	DT	the
world	NN	world
,	,	,
and	CC	and
that	IN	that
they	PP	they
can	MD	can
even	RB	even
act	VB	act
as	IN	as
a	DT	a
guide	NN	guide
for	IN	for
future	JJ	future
actions	NNS	action
,	,	,
like	IN	like
self-fulfilling	VBG	self-fulfill
prophecies	NNS	prophecy
.	SENT	.
Johnson	NP	Johnson
and	CC	and
Lakoff	NP	Lakoff
suggest	VBP	suggest
a	DT	a
new	JJ	new
metaphor	NN	metaphor
for	IN	for
love	NN	love
:	:	:
love	VBP	love
as	IN	as
a	DT	a
collaborative	JJ	collaborative
work	NN	work
of	IN	of
art	NN	art
.	SENT	.
I	PP	I
really	RB	really
like	VBP	like
this	DT	this
way	NN	way
of	IN	of
thinking	VBG	think
about	IN	about
love	NN	love
.	SENT	.
Linguists	NNS	linguist
talk	VBP	talk
about	IN	about
metaphors	NNS	metaphor
as	IN	as
having	VBG	have
entailments	NNS	entailment
,	,	,
which	WDT	which
is	VBZ	be
essentially	RB	essentially
a	DT	a
way	NN	way
of	IN	of
considering	VBG	consider
all	PDT	all
the	DT	the
implications	NNS	implication
of	IN	of
,	,	,
or	CC	or
ideas	NNS	idea
contained	VBN	contain
within	IN	within
,	,	,
a	DT	a
given	VBN	give
metaphor	NN	metaphor
.	SENT	.
And	CC	and
Johnson	NP	Johnson
and	CC	and
Lakoff	NP	Lakoff
talk	NN	talk
about	IN	about
everything	NN	everything
that	IN	that
collaborating	VBG	collaborate
on	IN	on
a	DT	a
work	NN	work
of	IN	of
art	NN	art
entails	NNS	entail
:	:	:
effort	NN	effort
,	,	,
compromise	NN	compromise
,	,	,
patience	NN	patience
,	,	,
shared	VBN	share
goals	NNS	goal
.	SENT	.
These	DT	these
ideas	NNS	idea
align	VBP	align
nicely	RB	nicely
with	IN	with
our	PP$	our
cultural	JJ	cultural
investment	NN	investment
in	IN	in
long-term	JJ	long-term
romantic	JJ	romantic
commitment	NN	commitment
,	,	,
but	CC	but
they	PP	they
also	RB	also
work	VBP	work
well	RB	well
for	IN	for
other	JJ	other
kinds	NNS	kind
of	IN	of
relationships	NNS	relationship
—	:	-
short-term	JJ	short-term
,	,	,
casual	JJ	casual
,	,	,
polyamorous	JJ	polyamorous
,	,	,
non-monogamous	JJ	non-monogamous
,	,	,
asexual	JJ	asexual
—	:	-
because	IN	because
this	DT	this
metaphor	NN	metaphor
brings	VBZ	bring
much	RB	much
more	RBR	more
complex	JJ	complex
ideas	NNS	idea
to	TO	to
the	DT	the
experience	NN	experience
of	IN	of
loving	JJ	loving
someone	NN	someone
.	SENT	.
So	RB	so
if	IN	if
love	NN	love
is	VBZ	be
a	DT	a
collaborative	JJ	collaborative
work	NN	work
of	IN	of
art	NN	art
,	,	,
then	RB	then
love	NN	love
is	VBZ	be
an	DT	an
aesthetic	JJ	aesthetic
experience	NN	experience
.	SENT	.
Love	NN	love
is	VBZ	be
unpredictable	JJ	unpredictable
,	,	,
love	NN	love
is	VBZ	be
creative	JJ	creative
,	,	,
love	NN	love
requires	VBZ	require
communication	NN	communication
and	CC	and
discipline	NN	discipline
,	,	,
it	PP	it
is	VBZ	be
frustrating	JJ	frustrating
and	CC	and
emotionally	RB	emotionally
demanding	VBG	demand
.	SENT	.
And	CC	and
love	NN	love
involves	VBZ	involve
both	DT	both
joy	NN	joy
and	CC	and
pain	NN	pain
.	SENT	.
Ultimately	RB	ultimately
,	,	,
each	DT	each
experience	NN	experience
of	IN	of
love	NN	love
is	VBZ	be
different	JJ	different
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
younger	JJR	young
,	,	,
it	PP	it
never	RB	never
occurred	VBD	occur
to	TO	to
me	PP	me
that	IN	that
I	PP	I
was	VBD	be
allowed	VBN	allow
to	TO	to
demand	VB	demand
more	JJR	more
from	IN	from
love	NN	love
,	,	,
that	WDT	that
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
to	TO	to
just	RB	just
accept	VB	accept
whatever	WDT	whatever
love	NN	love
offered	VBD	offer
.	SENT	.
When	WRB	when
14-	CD	@card@
year-old	JJ	year-old
Juliet	NP	Juliet
first	JJ	first
meets	NNS	meet
—	:	-
or	CC	or
,	,	,
when	WRB	when
14-year-old	JJ	14-year-old
Juliet	NP	Juliet
cannot	MD	can
be	VB	be
with	IN	with
Romeo	NP	Romeo
,	,	,
whom	WP	whom
she	PP	she
has	VBZ	have
met	VBN	meet
four	CD	four
days	NNS	day
ago	RB	ago
,	,	,
she	PP	she
does	VBZ	do
not	RB	not
feel	VB	feel
disappointed	JJ	disappointed
or	CC	or
angsty	JJ	<unknown>
.	SENT	.
Where	WRB	where
is	VBZ	be
she	PP	she
?	SENT	?
She	PP	she
wants	VBZ	want
to	TO	to
die	VB	die
.	SENT	.
Right	RB	right
?	SENT	?
And	CC	and
just	RB	just
as	IN	as
a	DT	a
refresher	NN	refresher
,	,	,
at	IN	at
this	DT	this
point	NN	point
in	IN	in
the	DT	the
play	NN	play
,	,	,
act	NN	act
three	CD	three
of	IN	of
five	CD	five
,	,	,
Romeo	NP	Romeo
is	VBZ	be
not	RB	not
dead	JJ	dead
.	SENT	.
He	PP	he
'	POS	'
s	NNS	<unknown>
alive	JJ	alive
,	,	,
he	PP	he
'	POS	'
s	NNS	<unknown>
healthy	JJ	healthy
,	,	,
he	PP	he
'	POS	'
s	NN	S
just	RB	just
been	VBN	be
banished	VBN	banish
from	IN	from
the	DT	the
city	NN	city
.	SENT	.
I	PP	I
understand	VBP	understand
that	IN	that
16th-century	NP	16th-century
Verona	NP	Verona
is	VBZ	be
unlike	IN	unlike
contemporary	JJ	contemporary
North	NP	North
America	NP	America
,	,	,
and	CC	and
yet	RB	yet
when	WRB	when
I	PP	I
first	RB	first
read	VBP	read
this	DT	this
play	NN	play
,	,	,
also	RB	also
at	IN	at
age	NN	age
14	CD	@card@
,	,	,
Juliet	NP	Juliet
'	POS	'
s	NN	S
suffering	NN	suffering
made	VBD	make
sense	NN	sense
to	TO	to
me	PP	me
.	SENT	.
Reframing	JJ	<unknown>
love	NN	love
as	IN	as
something	NN	something
I	PP	I
get	VBP	get
to	TO	to
create	VB	create
with	IN	with
someone	NN	someone
I	PP	I
admire	VBP	admire
,	,	,
rather	RB	rather
than	IN	than
something	NN	something
that	WDT	that
just	RB	just
happens	VBZ	happen
to	TO	to
me	PP	me
without	IN	without
my	PP$	my
control	NN	control
or	CC	or
consent	NN	consent
,	,	,
is	VBZ	be
empowering	VBG	empower
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
still	RB	still
hard	RB	hard
.	SENT	.
Love	NP	Love
still	RB	still
feels	VBZ	feel
totally	RB	totally
maddening	VBG	madden
and	CC	and
crushing	VBG	crush
some	DT	some
days	NNS	day
,	,	,
and	CC	and
when	WRB	when
I	PP	I
feel	VBP	feel
really	RB	really
frustrated	JJ	frustrated
,	,	,
I	PP	I
have	VBP	have
to	TO	to
remind	VB	remind
myself	PP	myself
:	:	:
my	PP$	my
job	NN	job
in	IN	in
this	DT	this
relationship	NN	relationship
is	VBZ	be
to	TO	to
talk	VB	talk
to	TO	to
my	PP$	my
partner	NN	partner
about	IN	about
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
make	VB	make
together	RB	together
.	SENT	.
This	DT	this
isn	NN	isn
'	POS	'
t	NN	t
easy	JJ	easy
,	,	,
either	RB	either
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
just	RB	just
so	RB	so
much	RB	much
better	JJR	good
than	IN	than
the	DT	the
alternative	NN	alternative
,	,	,
which	WDT	which
is	VBZ	be
that	DT	that
thing	NN	thing
that	WDT	that
feels	VBZ	feel
like	IN	like
madness	NN	madness
.	SENT	.
This	DT	this
version	NN	version
of	IN	of
love	NN	love
is	VBZ	be
not	RB	not
about	RB	about
winning	VBG	win
or	CC	or
losing	VBG	lose
someone	NN	someone
'	POS	'
s	NN	S
affection	NN	affection
.	SENT	.
Instead	RB	instead
,	,	,
it	PP	it
requires	VBZ	require
that	IN	that
you	PP	you
trust	VBP	trust
your	PP$	your
partner	NN	partner
and	CC	and
talk	NN	talk
about	IN	about
things	NNS	thing
when	WRB	when
trusting	JJ	trusting
feels	NNS	feel
difficult	JJ	difficult
,	,	,
which	WDT	which
sounds	VBZ	sound
so	RB	so
simple	JJ	simple
,	,	,
but	CC	but
is	VBZ	be
actually	RB	actually
a	DT	a
kind	NN	kind
of	IN	of
revolutionary	JJ	revolutionary
,	,	,
radical	JJ	radical
act	NN	act
.	SENT	.
This	DT	this
is	VBZ	be
because	IN	because
you	PP	you
get	VBP	get
to	TO	to
stop	VB	stop
thinking	VBG	think
about	IN	about
yourself	PP	yourself
and	CC	and
what	WP	what
you	PP	you
'	''	'
re	IN	re
gaining	VBG	gain
or	CC	or
losing	VBG	lose
in	IN	in
your	PP$	your
relationship	NN	relationship
,	,	,
and	CC	and
you	PP	you
get	VBP	get
to	TO	to
start	VB	start
thinking	VBG	think
about	IN	about
what	WP	what
you	PP	you
have	VBP	have
to	TO	to
offer	VB	offer
.	SENT	.
This	DT	this
version	NN	version
of	IN	of
love	NN	love
allows	VBZ	allow
us	PP	us
to	TO	to
say	VB	say
things	NNS	thing
like	IN	like
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
we	PP	we
'	POS	'
re	NN	re
not	RB	not
very	RB	very
good	JJ	good
collaborators	NNS	collaborator
.	SENT	.
Maybe	RB	maybe
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
for	IN	for
us	PP	us
.	SENT	.
"	''	"
Or	CC	or
,	,	,
"	``	"
That	DT	that
relationship	NN	relationship
was	VBD	be
shorter	JJR	short
than	IN	than
I	PP	I
had	VBD	have
planned	VBN	plan
,	,	,
but	CC	but
it	PP	it
was	VBD	be
still	RB	still
kind	JJ	kind
of	IN	of
beautiful	JJ	beautiful
.	SENT	.
"	``	"
The	DT	the
beautiful	JJ	beautiful
thing	NN	thing
about	IN	about
the	DT	the
collaborative	JJ	collaborative
work	NN	work
of	IN	of
art	NN	art
is	VBZ	be
that	IN	that
it	PP	it
will	MD	will
not	RB	not
paint	VB	paint
or	CC	or
draw	VB	draw
or	CC	or
sculpt	VB	sculpt
itself	PP	itself
.	SENT	.
This	DT	this
version	NN	version
of	IN	of
love	NN	love
allows	VBZ	allow
us	PP	us
to	TO	to
decide	VB	decide
what	WP	what
it	PP	it
looks	VBZ	look
like	IN	like
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
