Some	DT	some
use	VBP	use
alone	RB	alone
,	,	,
we	PP	we
could	MD	could
predict	VB	predict
whether	IN	whether
they	PP	they
were	VBD	be
talking	VBG	talk
to	TO	to
a	DT	a
black	JJ	black
driver	NN	driver
or	CC	or
a	DT	a
white	JJ	white
driver	NN	driver
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
that	IN	that
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
the	DT	the
footage	NN	footage
from	IN	from
these	DT	these
cameras	NNS	camera
is	VBZ	be
not	RB	not
used	VBN	use
by	IN	by
police	NN	police
departments	NNS	department
to	TO	to
understand	VB	understand
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
on	IN	on
the	DT	the
street	NN	street
or	CC	or
to	TO	to
train	VB	train
officers	NNS	officer
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
shame	NN	shame
.	SENT	.
How	WRB	how
does	VBZ	do
a	DT	a
routine	JJ	routine
stop	NN	stop
turn	NN	turn
into	IN	into
a	DT	a
deadly	JJ	deadly
encounter	NN	encounter
?	SENT	?
How	WRB	how
did	VBD	do
this	DT	this
happen	VB	happen
in	IN	in
George	NP	George
Floyd	NP	Floyd
'	POS	'
s	NN	S
case	NN	case
?	SENT	?
How	WRB	how
did	VBD	do
it	PP	it
happen	VB	happen
in	IN	in
others	NNS	other
?	SENT	?
When	WRB	when
my	PP$	my
eldest	JJ	eldest
son	NN	son
was	VBD	be
16	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
he	PP	he
discovered	VBD	discover
that	IN	that
when	WRB	when
white	JJ	white
people	NNS	people
look	VBP	look
at	IN	at
him	PP	him
,	,	,
they	PP	they
feel	VBP	feel
fear	NN	fear
.	SENT	.
Elevators	NNS	elevator
are	VBP	be
the	DT	the
worst	JJS	bad
,	,	,
he	PP	he
said	VBD	say
.	SENT	.
When	WRB	when
those	DT	those
doors	NNS	door
close	NN	close
,	,	,
people	NNS	people
are	VBP	be
trapped	VBN	trap
in	IN	in
this	DT	this
tiny	JJ	tiny
space	NN	space
with	IN	with
someone	NN	someone
they	PP	they
have	VBP	have
been	VBN	be
taught	VBN	teach
to	TO	to
associate	VB	associate
with	IN	with
danger	NN	danger
.	SENT	.
My	PP$	my
son	NN	son
senses	VBZ	sense
their	PP$	their
discomfort	NN	discomfort
,	,	,
and	CC	and
he	PP	he
smiles	VBZ	smile
to	TO	to
put	VB	put
them	PP	them
at	IN	at
ease	NN	ease
,	,	,
to	TO	to
calm	VB	calm
their	PP$	their
fears	NNS	fear
.	SENT	.
When	WRB	when
he	PP	he
speaks	VBZ	speak
,	,	,
their	PP$	their
bodies	NNS	body
relax	VBP	relax
.	SENT	.
They	PP	they
breathe	VBP	breathe
easier	JJR	easy
.	SENT	.
They	PP	they
take	VBP	take
pleasure	NN	pleasure
in	IN	in
his	PP$	his
cadence	NN	cadence
,	,	,
his	PP$	his
diction	NN	diction
,	,	,
his	PP$	his
word	NN	word
choice	NN	choice
.	SENT	.
He	PP	he
sounds	VBZ	sound
like	IN	like
one	CD	one
of	IN	of
them	PP	them
.	SENT	.
I	PP	I
used	VBD	use
to	TO	to
think	VB	think
that	IN	that
my	PP$	my
son	NN	son
was	VBD	be
a	DT	a
natural	JJ	natural
extrovert	NN	extrovert
like	IN	like
his	PP$	his
father	NN	father
.	SENT	.
But	CC	but
I	PP	I
realized	VBD	realize
at	IN	at
that	DT	that
moment	NN	moment
,	,	,
in	IN	in
that	DT	that
conversation	NN	conversation
,	,	,
that	IN	that
his	PP$	his
smile	NN	smile
was	VBD	be
not	RB	not
a	DT	a
sign	NN	sign
that	IN	that
he	PP	he
wanted	VBD	want
to	TO	to
connect	VB	connect
with	IN	with
would-be	JJ	would-be
strangers	NNS	stranger
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
talisman	NN	talisman
he	PP	he
used	VBD	use
to	TO	to
protect	VB	protect
himself	PP	himself
,	,	,
a	DT	a
survival	NN	survival
skill	NN	skill
he	PP	he
had	VBD	have
honed	VBN	hone
over	IN	over
thousands	NNS	thousand
of	IN	of
elevator	NN	elevator
rides	NNS	ride
.	SENT	.
He	PP	he
was	VBD	be
learning	VBG	learn
to	TO	to
accommodate	VB	accommodate
the	DT	the
tension	NN	tension
that	IN	that
his	PP$	his
skin	NN	skin
color	NN	color
generated	VBN	generate
and	CC	and
that	IN	that
put	VBN	put
his	PP$	his
own	JJ	own
life	NN	life
at	IN	at
risk	NN	risk
.	SENT	.
We	PP	we
know	VBP	know
that	IN	that
the	DT	the
brain	NN	brain
is	VBZ	be
wired	VBN	wire
for	IN	for
bias	NN	bias
,	,	,
and	CC	and
one	CD	one
way	NN	way
to	TO	to
interrupt	VB	interrupt
that	DT	that
bias	NN	bias
is	VBZ	be
to	TO	to
pause	VB	pause
and	CC	and
to	TO	to
reflect	VB	reflect
on	IN	on
the	DT	the
evidence	NN	evidence
of	IN	of
our	PP$	our
assumptions	NNS	assumption
.	SENT	.
So	RB	so
we	PP	we
need	VBP	need
to	TO	to
ask	VB	ask
ourselves	PP	ourselves
:	:	:
What	WP	what
assumptions	NNS	assumption
do	VBP	do
we	PP	we
bring	VB	bring
when	WRB	when
we	PP	we
step	VBP	step
onto	IN	onto
an	DT	an
elevator	NN	elevator
?	SENT	?
Or	CC	or
an	DT	an
airplane	NN	airplane
?	SENT	?
How	WRB	how
do	VBP	do
we	PP	we
make	VBP	make
ourselves	PP	ourselves
aware	JJ	aware
of	IN	of
our	PP$	our
own	JJ	own
unconscious	JJ	unconscious
bias	NN	bias
?	SENT	?
Who	WP	who
do	VBP	do
those	DT	those
assumptions	NNS	assumption
keep	VBP	keep
safe	JJ	safe
?	SENT	?
Who	WP	who
do	VBP	do
they	PP	they
put	VB	put
at	IN	at
risk	NN	risk
?	SENT	?
Until	IN	until
we	PP	we
ask	VBP	ask
these	DT	these
questions	NNS	question
and	CC	and
insist	VBP	insist
that	IN	that
our	PP$	our
schools	NNS	school
and	CC	and
our	PP$	our
courts	NNS	court
and	CC	and
our	PP$	our
police	NN	police
departments	NNS	department
and	CC	and
every	DT	every
institution	NN	institution
do	VBP	do
the	DT	the
same	JJ	same
,	,	,
we	PP	we
will	MD	will
continue	VB	continue
to	TO	to
allow	VB	allow
bias	NN	bias
to	TO	to
blind	VB	blind
us	PP	us
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
do	VBP	do
,	,	,
none	NN	none
of	IN	of
us	PP	us
are	VBP	be
truly	RB	truly
safe	JJ	safe
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
